                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                0.78134,                0.64834,                 1.0742,                0.93233,                0.90847,                0.96008,                0.80228,                0.63722,                0.43162,                 1.0064,             0.00050606,             0.00050606,             0.00050606
                     57,                0.76044,                0.64145,                 1.0586,                0.94365,                0.91462,                 0.9626,                0.81378,                0.60811,                0.41562,                0.98754,             0.00049506,             0.00049506,             0.00049506
                     58,                0.75316,                0.66629,                 1.0647,                0.90609,                 0.8834,                0.94193,                0.78382,                0.62939,                0.46329,                  1.001,             0.00048406,             0.00048406,             0.00048406
                     59,                0.77117,                0.66643,                 1.0636,                0.91254,                0.91268,                0.95693,                0.80726,                0.59638,                 0.4166,                0.98205,             0.00047306,             0.00047306,             0.00047306
                     60,                0.75391,                0.64676,                  1.052,                0.94621,                0.91702,                 0.9682,                0.82518,                0.59244,                0.40157,                0.97576,             0.00046206,             0.00046206,             0.00046206
                     61,                0.72858,                0.61831,                  1.038,                 0.9256,                0.94083,                0.97424,                0.83768,                0.56775,                0.38911,                0.97218,             0.00045107,             0.00045107,             0.00045107
                     62,                0.73284,                0.60801,                 1.0505,                0.93667,                0.93719,                0.97246,                 0.8357,                0.58033,                0.38936,                0.96667,             0.00044007,             0.00044007,             0.00044007
                     63,                0.73003,                0.61213,                 1.0479,                0.93883,                0.94214,                0.97606,                0.83904,                0.56208,                0.38123,                0.96407,             0.00042907,             0.00042907,             0.00042907
                     64,                0.70301,                0.58445,                 1.0305,                0.94038,                  0.936,                0.97599,                0.84411,                0.55574,                0.37289,                0.95905,             0.00041807,             0.00041807,             0.00041807
                     65,                0.71755,                0.60742,                 1.0372,                0.95503,                0.94974,                0.98197,                0.85798,                0.53802,                0.36037,                0.95371,             0.00040707,             0.00040707,             0.00040707
                     66,                0.71021,                0.61733,                 1.0423,                0.95835,                0.96352,                0.98311,                0.85757,                0.53317,                 0.3473,                0.94767,             0.00039607,             0.00039607,             0.00039607
                     67,                0.70427,                0.57954,                 1.0291,                0.96005,                0.95803,                0.98288,                0.86134,                0.52988,                0.35564,                0.94245,             0.00038507,             0.00038507,             0.00038507
                     68,                0.69318,                 0.5597,                 1.0165,                0.95821,                0.94248,                0.98087,                0.86227,                0.52697,                0.35027,                  0.937,             0.00037407,             0.00037407,             0.00037407
                     69,                0.67311,                0.55044,                 1.0175,                 0.9654,                0.96302,                0.98134,                0.87003,                0.51097,                0.34578,                0.93322,             0.00036307,             0.00036307,             0.00036307
                     70,                0.66321,                0.56551,                 1.0138,                0.96843,                 0.9581,                0.98525,                0.87643,                0.51411,                0.32745,                0.92768,             0.00035208,             0.00035208,             0.00035208
                     71,                0.65858,                0.58612,                0.99251,                0.96662,                0.96147,                0.98583,                0.87213,                0.51305,                 0.3268,                0.92889,             0.00034108,             0.00034108,             0.00034108
                     72,                0.66709,                0.53717,                 1.0141,                0.96922,                0.96129,                0.98703,                0.88071,                0.49786,                0.32315,                0.92459,             0.00033008,             0.00033008,             0.00033008
                     73,                0.64729,                0.50935,                0.99739,                0.97912,                0.96396,                0.98849,                0.88865,                0.48959,                0.31332,                0.91476,             0.00031908,             0.00031908,             0.00031908
                     74,                0.64012,                0.51203,                0.99636,                0.97985,                0.96968,                0.99036,                0.89137,                0.48435,                0.31057,                0.91302,             0.00030808,             0.00030808,             0.00030808
                     75,                0.64089,                0.51104,                0.99077,                0.96694,                0.96451,                0.98814,                0.89216,                0.48105,                0.31182,                0.90843,             0.00029708,             0.00029708,             0.00029708
                     76,                 0.6355,                0.48955,                0.99688,                0.98129,                0.97195,                0.99064,                0.89266,                0.47552,                0.29974,                0.90977,             0.00028608,             0.00028608,             0.00028608
