                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                0.83951,                0.74871,                 1.2096,                0.93706,                0.91608,                0.96656,                0.80104,                0.67863,                 0.5427,                 1.0776,                0.00101,                0.00101,                0.00101
                     52,                0.81091,                0.72324,                 1.1749,                0.92622,                0.90932,                0.96429,                0.80687,                0.63918,                0.55013,                 1.0502,              0.0009902,              0.0009902,              0.0009902
                     53,                0.83393,                0.73858,                 1.1811,                0.92728,                0.91361,                0.96538,                0.80088,                0.67578,                0.54211,                 1.0527,              0.0009704,              0.0009704,              0.0009704
                     54,                0.81988,                0.71846,                 1.1758,                0.92758,                0.90773,                 0.9663,                0.80312,                0.67702,                0.54384,                 1.0532,              0.0009506,              0.0009506,              0.0009506
                     55,                 0.7948,                0.71363,                  1.169,                 0.9305,                0.91754,                0.96623,                 0.8177,                0.63878,                0.52166,                 1.0386,              0.0009308,              0.0009308,              0.0009308
                     56,                0.78747,                0.72563,                 1.1784,                0.93453,                0.91152,                0.96769,                0.82074,                0.62412,                0.53342,                 1.0401,               0.000911,               0.000911,               0.000911
                     57,                 0.7685,                0.66734,                 1.1525,                0.94093,                0.90563,                0.96664,                0.82455,                0.61601,                 0.5131,                 1.0353,              0.0008912,              0.0008912,              0.0008912
                     58,                0.73873,                0.64017,                  1.128,                0.93137,                0.92991,                0.97199,                0.82988,                0.63875,                0.49428,                 1.0224,              0.0008714,              0.0008714,              0.0008714
                     59,                0.76609,                0.64531,                 1.1443,                0.93352,                0.92956,                0.97198,                0.83215,                0.58534,                0.49649,                  1.007,              0.0008516,              0.0008516,              0.0008516
                     60,                0.74666,                0.66724,                   1.14,                0.93706,                0.91745,                0.97124,                0.83169,                 0.6044,                0.49877,                 1.0268,              0.0008318,              0.0008318,              0.0008318
                     61,                0.73905,                0.65058,                 1.1289,                0.93902,                0.91148,                0.97288,                0.82428,                0.62666,                0.50308,                 1.0228,               0.000812,               0.000812,               0.000812
                     62,                0.71887,                0.63238,                 1.1073,                0.94369,                0.93458,                0.97775,                0.85154,                0.57663,                  0.457,                0.98566,              0.0007922,              0.0007922,              0.0007922
                     63,                0.70507,                0.61807,                  1.106,                0.94543,                0.94445,                0.97919,                0.86277,                0.54934,                0.44595,                0.97522,              0.0007724,              0.0007724,              0.0007724
                     64,                0.70205,                0.63435,                 1.1212,                0.93889,                0.95327,                0.97907,                0.85408,                0.54925,                 0.4501,                0.97894,              0.0007526,              0.0007526,              0.0007526
                     65,                0.72446,                 0.6278,                 1.1272,                0.96381,                0.93325,                0.97986,                0.85947,                0.53072,                0.43727,                0.96813,              0.0007328,              0.0007328,              0.0007328
                     66,                0.69088,                0.61757,                 1.1023,                0.94976,                0.93847,                0.98159,                0.87148,                0.51547,                0.42064,                0.95234,               0.000713,               0.000713,               0.000713
                     67,                0.66844,                 0.5781,                 1.0888,                0.95175,                0.95238,                 0.9835,                0.87728,                0.50591,                0.41557,                0.94908,              0.0006932,              0.0006932,              0.0006932
                     68,                0.67958,                0.59349,                 1.0853,                0.95873,                0.95405,                0.98143,                0.86196,                0.52957,                0.42469,                0.96475,              0.0006734,              0.0006734,              0.0006734
